,BioScience Trends,言語文化教育研究,国際生命情報科学会誌,ジオシンセティックス論文集,文化人類学,文化人類学,日本農村医学会雑誌,薬剤学,薬剤学,薬剤学,薬剤学,薬剤学,薬剤学,薬剤学,薬剤学,Drug Discoveries & Therapeutics,計量生物学,産業動物臨床医学雑誌,日本複合材料学会誌,Journal of Veterinary Medical Science,フォーラム現代社会学,環境経済・政策研究,地域学研究,日本シミュレーション学会論文誌,e-Learning教育研究,Analytical Sciences,Circulation Reports,IEICE Electronics Express,森林総合研究所研究報告,日本消化器内視鏡学会雑誌
10,A selective oral vasopressin V2-receptor antagonist for patients with end-stage liver disease awaiting liver transplantation: a preliminary study,ベトナム人集住地域における複数言語の使用と学習に関する研究,,大径補強材による地山補強土工法の寒冷地における試験施工と動態観測,インフラストラクチャーとしての山道,ハラール産業と監査文化研究,高齢化・生産人口減少社会の中での地域医療──中山間地の病院において──,,,,,,Physical Characteristics of Finely Powdered Green Tea ―Preformulation Study for Solid Preparations Containing Green Tea Components,圧力スイング造粒法による粉末吸入剤用2成分複合顆粒の調製と肺内in vitro吸入特性の評価,日本に必要な薬がない？,,,,,Genetic characteristics of feral Misaki horses based on polymorphisms of microsatellites and mitochondrial DNA,済州4・3を語る、済州4・3から語る,栗山浩一編著『企業経営と環境評価』,,,e-Learning教育学会 会則,"Rhodamine B Chemiluminescence Improved by Mimetic AuCu Alloy Nanoclusters and Ultrasensitive Measurement of H2O2, Glucose and Xanthine",,,,Endoscopic Full Thickness Resection (EFTR)
11,"Design, synthesis and biological evaluation of 4-piperidin-4-yl-triazole derivatives as novel histone deacetylase inhibitors",留学生と日本人チューターの学習活動,,樹脂製独立受圧板を用いた地山補強土工に対する凍上対策方法の提案,福島沖に浮かぶ「未来」とその未来,グローバルな当事者間のニーズ共有接近法,研修医セッション優秀賞受賞者一覧,,,,,,"Characterization of the Physicochemical Properties of Micelles Composed of a Novel Platelet Factor Receptor Antagonist, E5880",塩酸ベニジピンー水和物のキャラクタライゼーション及びその無水物と一水和物の溶解挙動の比較,ニュース,,,,,,ライティング・ヒストリーの展開,舩橋晴俊著『社会制御過程の社会学』,,,e-Learning教育学会 機関誌投稿規定,Sensitive Chemiluminescent Sensing Method for Mercury(II) Ions Based on Monolayer Molybdenum Disulfide,,,,Population Colorectal Cancer Screening – Ten-year Story of Taiwanese Program
12,Circular RNA profiling reveals circRNA1656 as a novel biomarker in high grade serous ovarian cancer,ピア・リーディングにおける知識の相互行為的達成,,物性が異なる盛土材料で構築した実物大帯鋼補強土壁の冬期挙動,高齢化する人・街・インフラ,第12回国際狩猟採集社会会議（CHaGS-12） 参加報告,独自に作成した調査票を用いた日帰り入院の食物経口負荷試験に関する意識調査,,,,,,EDTANaを含有したポリビニルアルコールゲル坐剤からのインスリンの直腸吸収,,複合錠剤の調製と評価―配合禁忌を防止するための造粒とレイヤリングについて―,,,,,,負の遺産を記憶することの（不）可能性,本号の英文要旨,,,『e-Learning教育研究』第14巻投稿案内,Atomization and Changes in Chemical Composition by Laser Ablation in Liquid prior to Determination of Trace Elements in Gallium Nitride,,,,胃拡大内視鏡の最先端
13,Living donor liver transplantation for a patient with a history of total gastrectomy,ブラジルに帰国した日系人の子どもが語る移動の経験と日本語学習,,積雪寒冷環境下におけるジオセルを用いた斜面安定工に関する検討,リテラシーとオラリティを複数化する,日本文化人類学会次世代育成セミナー報告,当院における双胎妊娠の分娩様式と考察,,,,,,,,標準処方における造粒法と含量均一性―流動層造粒法―,,,,,,地域に残る加害の記憶と贖罪意識,2018 年度環境経済・政策学会学会賞,,,奥付,Using Electropolymerization-based Doping for the Electro-addressable Functionalization of a Multi-electrode Array Probe for Nucleic Acid Detection,,,,消化管リンパ腫の診断と治療
14,,現代中国における日本語メディアのオーラルヒストリー研究,,ジオセルとジオグリッドを連結した補強土壁の凍上対策に関する検討,文化人類学における共同研究・共同調査のあり方を考える,地域間比較による搾乳の在・不在論,咳嗽患者におけるFeNO検査の有用性の検討,,,,,,,,新規4流体ノズルスプレードライ法による粉末吸入剤用粒子の調製,,,,,,おわりに,環境経済・政策学会2018 年大会プログラム,,,,Baseline Assessment for the Consistency of Raman Shifts Acquired with 26 Different Raman Systems and Necessity of a Standardized Calibration Protocol,,,,EBウイルスと胃癌
15,,留学生のキャリア意識とキャリア支援の「ずれ」を考える,,両面盛土形式の二重壁構造を持つジオテキスタイル補強土壁の耐震性評価,澤野美智子著 『乳がんと共に生きる女性と家族の医療人類学――韓国の「オモニ」の民族誌』,名和克郎編 『体制転換期ネパールにおける「包摂」の諸相――言説政治・社会実践・生活世界』,腹腔鏡下付属器摘出術5年後に発症した尿管内膜症の1例,,,,,,,,錠剤からの薬物溶出挙動に対する種々の崩壊剤の添加効果,,,,,,シンポジウム「社会学と障害学の対話」,編集後記,,,,Simple Isolation of Single Cell: Thin Glass Microfluidic Device for Observation of Isolated Single Euglena gracilis Cells,,,,進行再発消化管癌に対する化学療法の最新の進歩
16,,【書評】「ことば」の教育・研究に対する展開,,急勾配化した補強盛土における張コンクリートの定着性の検討,神原ゆうこ著 『デモクラシーという作法――スロヴァキア村落における体制転換後の民族誌』,中川加奈子著 『ネパールでカーストを生きぬく――供犠と肉売りを担う人びとの民族誌』,,,,,,,,,薬剤学第63巻総目次,,,,,,軽度障害者の語りにみるディスアビリティ経験,,,,,High Enrichment of Nucleobase-modified Aptamers in Early Selection Rounds by Microbeads-assisted Capillary Electrophoresis SELEX,,,,AIは、内視鏡診療をどう変えていくのか？
17,,【講演記録】教育実践を理解するためのバフチン・ダイアローグ論,,高盛土構造の高速道路盛土への補強材一体ふとん籠補強土壁工法の適用について,本田洋著 『韓国農村社会の歴史民族誌――産業化過程でのフィールドワーク再考』,福浦厚子著 『都市の寺廟――シンガポールにおける神聖空間の人類学』,,,,,,,,,薬剤学第63巻キーワード索引,,,,,,インクルーシブ教育体制に関する社会学的探究,,,,,Catalytic Deacetylation of p-Nitrophenyl Thioacetate by Cyanide Ion and Its Sensor Applications,,,,Barrett食道癌の内視鏡診断 up to date
18,,【講演記録】竹田青嗣『欲望論』をめぐる講演とパネルディスカッション,,施工中に損傷を受けたジオシンセティックスの長期強度信頼性,梅村絢美著 『沈黙の医療――スリランカ伝承医療における言葉と診療』,アドリアナ・ペトリーナ著 『曝された生――チェルノブイリ後の生物学的市民』,,,,,,,,,,,,,,,ミクロ・ポリティクスとしての当事者研究,,,,,Construction of an Automatic Nutrient Solution Management System for Hydroponics—Adjustment of the K+-Concentration and Volume of Water—,,,,咽喉頭表在癌の内視鏡診断と治療
19,,投稿規程,,グラベル基礎補強併用低改良率地盤改良の盛土の変形抑制効果に関する動的遠心力載荷実験,吉田優貴著 『いつも躍っている子供たち――聾、身体、ケニア』,砂川秀樹著 『新宿二丁目の文化人類学――ゲイ・コミュニティから都市をまなざす』,,,,,,,,,,,,,,,コメント,,,,,Announcements,,,,食道SM癌に対する内視鏡的切除+化学放射線療法-JCOG0508最終解析結果をふまえて
20,,編集後記,,降雨ハザードを用いた地震時の補強土壁の確率論的リスク評価,楊海英著 『最後の馬賊――「帝国」の将軍・李守信』,箭内匡著 『イメージの人類学』,,,,,,,,,,,,,,,亀山佳明　編『記憶とリアルのゆくえ―文学社会学の試み―』,,,,,,,,,食道運動機能診断
21,,,,変状が発生したジオシンセティックス補強土壁のＳ波速度分布と各種原位置試験結果の関連性,上水流久彦、太田心平、尾崎孝宏、川口幸大編 『東アジアで学ぶ文化人類学』,堀田あゆみ著 『交渉の民族誌――モンゴル遊牧民のモノをめぐる情報戦』,,,,,,,,,,,,,,,工藤保則・西川知亨・山田　容　編著『〈オトコの育児〉の社会学―家族をめぐる喜びととまどい―』,,,,,,,,,十二指腸乳頭部疾患の内視鏡診断と治療
22,,,,2 度にわたる大規模地震でも完全崩壊しなかった EPS 盛土：熊本地震被災事例からの教訓,学会通信,Roberto E. Barrios Governing Affect: Neoliberalism and Disaster Reconstruction,,,,,,,,,,,,,,,柴田　悠　著『子育て支援が日本を救う―政策効果の統計分析―』,,,,,,,,,内視鏡医に必要な病理の基本的知識
23,,,,河川増水による橋台背面盛土の侵食に対するジオシンセティックス材料による対策工の提案,編集後記,吉田優貴著 『 いつも躍っている子供たち――聾・身体・ケニア』,,,,,,,,,,,,,,,濱西栄司　著『トゥレーヌ社会学と新しい社会運動理論』,,,,,,,,,内視鏡診療におけるプロポフォールとデクスメデトミジンの使い方
24,,,,ため池堤体の石積みブロック補強に関する遠心振動実験と解析的検討,編集委員会からのお知らせ,岸上伸啓編 『贈与論再考――人間はなぜ他者に与えるのか』,,,,,,,,,,,,,,,桑原桃音　著『大正期の結婚相談―家と恋愛にゆらぐ人びと―』,,,,,,,,,LECSの現況と展望
25,,,,偏心荷重を受ける帯基礎の支持力特性に対するジオグリッド補強の効果,『文化人類学』の目的/『文化人類学』への寄稿について/奥付,奥田若菜著 『貧困と連帯の人類学――ブラジルの路上市場における一方的贈与』,,,,,,,,,,,,,,,石原　俊　著『群島と大学―冷戦ガラパゴスを超えて―』,,,,,,,,,専門医制度とJED project
26,,,,柔な受圧板を有する補強斜面模型の直接せん断実験,裏表紙,宮脇千絵著 『装いの民族誌――中国雲南省モンの「民族衣装」をめぐる実践』,,,,,,,,,,,,,,,有薗真代　著『ハンセン病療養所を生きる―隔離壁を砦に―』,,,,,,,,,抗血栓薬と消化器内視鏡治療
27,,,,緊結金具を用いたEPS構造体の地震時挙動,,竹村嘉晃著 『神霊を生きること、その世界――インド・ ケーララ社会における「不可触民」の芸能民族誌』,,,,,,,,,,,,,,,渡辺拓也　著『飯場へ―暮らしと仕事を記録する―』,,,,,,,,,Special Session 1
28,,,,EPSブロックとジオグリッドを併用した擁壁の耐震対策に関する振動台実験,,学会通信,,,,,,,,,,,,,,,石田　淳　著『集合論による社会的カテゴリー論の展開―ブール代数と質的比較分析の応用―』,,,,,,,,,Special Session 2
29,,,,,,第45回澁澤賞授賞について,,,,,,,,,,,,,,,編集後記,,,,,,,,,The 12th JGES-ASGE Joint Symposium
30,,,,,,編集後記,,,,,,,,,,,,,,,,,,,,,,,,The 16th JGES-ESGE Joint Symposium
31,,,,,,編集委員会からのお知らせ,,,,,,,,,,,,,,,,,,,,,,,,JGES Core Session 1
32,,,,,,文化人類学 第83巻 総目次,,,,,,,,,,,,,,,,,,,,,,,,JGES Core Session 2
33,,,,,,Contents of Vol.83,,,,,,,,,,,,,,,,,,,,,,,,JGES Core Session 3
34,,,,,,『文化人類学』の目的/『文化人類学』への寄稿について/奥付,,,,,,,,,,,,,,,,,,,,,,,,シンポジウム
35,,,,,,裏表紙,,,,,,,,,,,,,,,,,,,,,,,,パネルディスカッション
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ワークショップ
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一般演題（口演）
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一般演題（ポスター）
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,附置研究会　研究成果報告
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第3回　十二指腸腫瘍の診断および低侵襲治療に関する研究会
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第3回　ポリグリコール酸シートとフィブリン糊を併用した被覆法の有効性評価と手技標準化にむけた研究会
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第2回　小児消化器内視鏡医育成のための研究会プログラム
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第1回　A型胃炎の診断基準確立に関する研究会
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Information
